trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,confound_access_rate,seed
jkvzgipb2g,2021-05-14 06:07:28.804977,2021-05-14 08:22:14.000000,2021-05-14 10:47:02.443471,COMPLETED,75833.74,,0.1,2021
y37x9x272r,2021-05-14 06:07:27.829312,2021-05-14 08:03:24.000000,2021-05-14 10:42:52.544549,COMPLETED,84166.84,,0.2,2021
wjas93buf5,2021-05-14 06:07:23.310976,2021-05-14 08:11:23.000000,2021-05-14 10:40:44.135684,COMPLETED,82291.806,,0.05,2022
r5hrrhfec8,2021-05-14 06:07:31.094240,2021-05-14 07:23:18.000000,2021-05-14 09:57:49.292271,COMPLETED,50000.5,,0.5,2025
cnwyfg75gf,2021-05-14 06:07:19.693099,2021-05-14 07:05:51.000000,2021-05-14 09:46:17.573135,COMPLETED,75833.744,,0.05,2023
2rxf6urm2y,2021-05-14 06:07:29.576313,2021-05-14 07:14:13.000000,2021-05-14 09:42:30.432770,COMPLETED,80000.804,,0.1,2022
z5pjzjuuaz,2021-05-14 06:07:30.337651,2021-05-14 06:55:11.000000,2021-05-14 09:39:42.944409,COMPLETED,50000.5,,0.5,2024
uwg75syjn4,2021-05-14 06:07:31.968947,2021-05-14 06:55:08.000000,2021-05-14 09:33:34.646471,COMPLETED,81666.82,,0.1,2025
cum6f6vti8,2021-05-14 06:07:22.476704,2021-05-14 06:55:06.000000,2021-05-14 09:32:00.491775,COMPLETED,82500.814,,0.2,2025
en25kd8x9b,2021-05-14 06:07:32.748733,2021-05-14 06:54:58.000000,2021-05-14 09:31:02.828505,COMPLETED,81666.796,,0.2,2023
t669pn2gmz,2021-05-14 06:07:33.580000,2021-05-14 06:45:17.000000,2021-05-14 09:23:50.033929,COMPLETED,80625.79,,0.5,2022
umqeks9chk,2021-05-14 06:07:12.232193,2021-05-14 06:07:30.000000,2021-05-14 08:50:21.039403,COMPLETED,81875.808,,1,2021
xiarpfznfh,2021-05-14 06:07:18.112711,2021-05-14 06:17:16.000000,2021-05-14 08:50:10.187507,COMPLETED,76250.76,,0.05,2025
njdvvyzsnd,2021-05-14 06:07:20.426449,2021-05-14 06:07:40.000000,2021-05-14 08:49:17.062370,COMPLETED,50000.5,,0.2,2024
q95dbr5xcz,2021-05-14 06:07:21.622828,2021-05-14 06:07:39.000000,2021-05-14 08:49:29.345488,COMPLETED,80000.796,,1,2023
uky4nzwrqf,2021-05-14 06:07:17.200335,2021-05-14 06:09:39.000000,2021-05-14 08:48:49.024723,COMPLETED,82500.82,,1,2025
96cb34secg,2021-05-14 06:07:25.168968,2021-05-14 06:07:38.000000,2021-05-14 08:46:50.638713,COMPLETED,77083.776,,0.2,2022
pftzbck8yq,2021-05-14 06:07:18.920689,2021-05-14 06:07:30.000000,2021-05-14 08:46:47.568788,COMPLETED,84166.826,,1,2024
j5f5v4pa3v,2021-05-14 06:07:13.083668,2021-05-14 06:07:31.000000,2021-05-14 08:46:43.638355,COMPLETED,80000.8,,0.05,2024
c4nequ7abt,2021-05-14 06:07:25.899203,2021-05-14 06:07:39.000000,2021-05-14 08:45:23.329687,COMPLETED,78750.774,,1,2022
ftc57dik4h,2021-05-14 06:07:27.090412,2021-05-14 06:07:39.000000,2021-05-14 08:44:16.611319,COMPLETED,81250.806,,0.5,2021
yy6qtw8ixi,2021-05-14 06:07:14.020322,2021-05-14 06:07:32.000000,2021-05-14 08:43:48.208041,COMPLETED,77708.802,,0.05,2021
2pgdpmc5qp,2021-05-14 06:07:24.189008,2021-05-14 06:07:38.000000,2021-05-14 08:43:13.615335,COMPLETED,81875.808,,0.5,2023
irimvkz4qb,2021-05-14 06:07:16.371518,2021-05-14 06:07:33.000000,2021-05-14 08:41:32.674062,COMPLETED,76875.738,,0.1,2023
vq2jyyia9t,2021-05-14 06:07:15.456809,2021-05-14 06:07:33.000000,2021-05-14 08:39:24.951921,COMPLETED,83541.832,,0.1,2024
